avg_wait,renege_rate,staffing_cost,avg_tellers,served,total_cost
0.0,0.0,488.5,9.77,1084,488.5
0.0,0.0,489.5,9.79,1087,489.5
2.84,4.5,488.5,9.77,1075,502.7
0.0,0.0,489.5,9.79,1112,489.5
3.541666666666666,5.1,489.0,9.78,1105,506.7083333333333
2.76,5.0,489.5,9.79,1080,503.3
0.0,0.0,489.0,9.78,1083,489.0
0.0,0.0,489.5,9.79,1090,489.5
0.0,0.0,489.0,9.78,1096,489.0
0.0,0.0,489.5,9.79,1113,489.5
2.22,4.8999999999999995,486.0,9.72,1294,497.1
0.045,0.30000000000000004,489.5,9.79,1287,489.725
0.0,0.0,487.5,9.75,1103,487.5
0.0,0.0,489.0,9.78,1103,489.0
0.0,0.0,479.5,9.59,1085,479.5
0.0,0.0,489.5,9.79,1061,489.5
0.0,0.0,476.0,9.52,1089,476.0
0.0,0.0,476.5,9.53,1110,476.5
0.0,0.0,489.5,9.79,1059,489.5
0.0,0.0,444.0,8.88,1092,444.0
0.0,0.0,459.0,9.18,1070,459.0
0.0,0.0,472.0,9.44,1077,472.0
0.0,0.0,473.0,9.46,1106,473.0
0.0,0.0,489.5,9.79,1068,489.5
0.0,0.0,475.5,9.51,1074,475.5
0.0,0.0,489.5,9.79,1095,489.5
0.0,0.0,467.0,9.34,1336,467.0
0.0,0.0,411.0,8.22,1085,411.0
0.0,0.0,464.0,9.28,1084,464.0
0.0,0.0,390.0,7.8,1273,390.0
0.0,0.0,477.0,9.54,1304,477.0
0.0,0.0,477.0,9.54,1329,477.0
0.0,0.0,488.0,9.76,1118,488.0
0.0,0.0,488.0,9.76,1088,488.0
0.0,0.0,485.5,9.71,1273,485.5
0.0,0.0,489.0,9.78,1125,489.0
0.0,0.0,456.5,9.13,1280,456.5
0.0,0.0,428.5,8.57,1254,428.5
0.0,0.0,472.5,9.45,1111,472.5
0.0,0.0,460.0,9.2,1052,460.0
0.05,0.3333333333333333,420.0,8.4,1097,420.25
99.18851190476191,36.0,258.5,5.17,1048,754.4425595238096
0.45815476190476195,2.242857142857143,423.0,8.46,1311,425.2907738095238
0.0,0.0,432.0,8.64,1277,432.0
0.0,0.0,409.0,8.18,1119,409.0
0.11785714285714284,0.7857142857142858,403.5,8.07,1091,404.0892857142857
0.06785714285714285,0.4523809523809524,378.0,7.56,1092,378.3392857142857
0.0,0.0,424.5,8.49,1272,424.5
0.0,0.0,414.0,8.28,1098,414.0
0.325,1.3333333333333333,227.0,4.54,1079,228.625
172.2139285714286,32.0,250.5,5.01,1046,1111.569642857143
0.0,0.0,304.0,6.08,1301,304.0
0.35,1.5,378.0,7.56,1292,379.75
0.075,0.5,258.5,5.17,1089,258.875
0.0,0.0,354.0,7.08,1094,354.0
0.30089285714285713,1.5,383.5,7.67,1099,385.0044642857143
0.0375,0.25,264.5,5.29,1059,264.6875
0.085,0.5666666666666667,322.0,6.44,1101,322.425
0.0,0.0,394.0,7.88,1280,394.0
0.38,1.7000000000000002,357.5,7.15,1085,359.4
0.0,0.0,347.0,6.94,1079,347.0
0.15410714285714286,1.0273809523809523,364.5,7.29,1277,365.2705357142857
0.42398809523809516,2.011111111111111,380.0,7.6,1079,382.1199404761905
0.0,0.0,443.0,8.86,1115,443.0
0.0,0.0,444.5,8.89,1112,444.5
5.631011904761904,6.9,369.5,7.39,1269,397.65505952380954
0.0,0.0,467.0,9.34,1076,467.0
0.0,0.0,452.0,9.04,1104,452.0
0.0,0.0,304.0,6.08,1078,304.0
0.0,0.0,458.0,9.16,1105,458.0
0.0,0.0,456.5,9.13,1153,456.5
0.0,0.0,482.5,9.65,1127,482.5
0.0,0.0,479.5,9.59,1249,479.5
0.0,0.0,456.5,9.13,1264,456.5
0.0,0.0,449.5,8.99,1100,449.5
0.0,0.0,458.5,9.17,1107,458.5
0.0,0.0,349.0,6.98,1273,349.0
0.0,0.0,432.5,8.65,1252,432.5
0.075,0.5,390.5,7.81,1264,390.875
0.1,0.5,413.5,8.27,1112,414.0
0.0,0.0,435.5,8.71,1132,435.5
0.0,0.0,260.0,5.2,1095,260.0
0.0,0.0,428.5,8.57,1234,428.5
0.0,0.0,449.0,8.98,1090,449.0
0.0,0.0,443.5,8.87,1086,443.5
0.125,0.8333333333333334,248.0,4.96,1088,248.625
0.0,0.0,427.0,8.54,1268,427.0
0.0,0.0,463.5,9.27,1067,463.5
0.9783928571428571,3.166666666666666,399.0,7.98,1138,403.89196428571427
27.90416666666667,16.633333333333333,357.5,7.15,1278,497.02083333333337
0.58375,3.166666666666666,402.5,8.05,1081,405.41875
0.92,3.3000000000000003,404.0,8.08,1073,408.6
1.3182142857142856,4.633333333333333,401.5,8.03,1276,408.0910714285714
0.1,0.5,430.5,8.61,1127,431.0
0.0,0.0,444.0,8.88,1089,444.0
91.05625,21.5,309.5,6.19,1264,764.78125
0.7482738095238096,3.1333333333333333,408.0,8.16,1076,411.74136904761906
0.0,0.0,443.5,8.87,1129,443.5
0.0,0.0,470.5,9.41,1118,470.5
0.0,0.0,456.5,9.13,1127,456.5
0.0,0.0,303.5,6.07,1086,303.5
0.0,0.0,295.0,5.9,1057,295.0
0.0,0.0,468.5,9.37,1103,468.5
0.0,0.0,439.0,8.78,1058,439.0
0.0,0.0,441.5,8.83,1112,441.5
0.0,0.0,445.5,8.91,1103,445.5
0.0,0.0,393.0,7.86,1097,393.0
0.0,0.0,484.0,9.68,1252,484.0
0.0,0.0,380.5,7.61,1111,380.5
0.0,0.0,446.5,8.93,1102,446.5
0.0,0.0,463.5,9.27,1074,463.5
0.0,0.0,239.5,4.79,1088,239.5
0.0375,0.25,392.5,7.85,1279,392.6875
0.08928571428571427,0.5952380952380952,356.5,7.13,1268,356.94642857142856
0.0,0.0,450.0,9.0,1286,450.0
0.04285714285714286,0.2857142857142857,381.0,7.62,1256,381.2142857142857
0.0,0.0,433.5,8.67,1077,433.5
0.0,0.0,432.0,8.64,1118,432.0
0.0,0.0,457.5,9.15,1082,457.5
0.0,0.0,453.0,9.06,1079,453.0
0.0,0.0,432.5,8.65,1280,432.5
0.0,0.0,450.0,9.0,1095,450.0
0.0,0.0,456.0,9.12,1255,456.0
0.0,0.0,431.5,8.63,1321,431.5
0.0,0.0,379.5,7.59,1097,379.5
0.0,0.0,446.5,8.93,1098,446.5
0.0,0.0,454.5,9.09,1291,454.5
0.075,0.5,312.0,6.24,1301,312.375
0.0,0.0,447.0,8.94,1093,447.0
0.0,0.0,443.5,8.87,1271,443.5
0.0,0.0,444.0,8.88,1109,444.0
0.0,0.0,452.5,9.05,1259,452.5
0.0,0.0,453.5,9.07,1096,453.5
0.0,0.0,483.0,9.66,1107,483.0
0.0,0.0,477.0,9.54,1090,477.0
0.0,0.0,457.0,9.14,1071,457.0
0.0,0.0,486.0,9.72,1117,486.0
0.0,0.0,489.5,9.79,1093,489.5
0.0,0.0,476.0,9.52,1259,476.0
0.0,0.0,464.5,9.29,1270,464.5
0.0,0.0,478.0,9.56,1100,478.0
0.0,0.0,484.5,9.69,1126,484.5
0.0,0.0,475.0,9.5,1043,475.0
0.0,0.0,470.0,9.4,1282,470.0
0.0,0.0,408.5,8.17,1109,408.5
0.0,0.0,476.0,9.52,1263,476.0
0.0,0.0,452.0,9.04,1076,452.0
0.0,0.0,480.0,9.6,1156,480.0
0.0,0.0,482.5,9.65,1262,482.5
0.0,0.0,396.5,7.93,1256,396.5
0.04285714285714286,0.2857142857142857,401.0,8.02,1287,401.2142857142857
0.0,0.0,458.0,9.16,1111,458.0
0.0,0.0,459.5,9.19,1063,459.5
0.0375,0.25,484.0,9.68,1070,484.1875
0.0,0.0,470.0,9.4,1106,470.0
0.0,0.0,444.0,8.88,1123,444.0
0.0,0.0,471.0,9.42,1292,471.0
0.0,0.0,448.0,8.96,1074,448.0
0.0,0.0,462.0,9.24,1079,462.0
0.0,0.0,469.0,9.38,1267,469.0
0.0,0.0,487.0,9.74,1295,487.0
0.375,0.5,471.5,9.43,1086,473.375
0.0,0.0,475.0,9.5,1075,475.0
0.0,0.0,479.5,9.59,1080,479.5
0.0,0.0,469.0,9.38,1270,469.0
0.0,0.0,455.5,9.11,1106,455.5
0.0,0.0,445.5,8.91,1090,445.5
0.0,0.0,476.5,9.53,1288,476.5
0.0,0.0,482.0,9.64,1135,482.0
0.0,0.0,477.0,9.54,1093,477.0
0.0,0.0,484.0,9.68,1296,484.0
0.0,0.0,461.5,9.23,1279,461.5
0.0,0.0,451.0,9.02,1117,451.0
0.015,0.1,486.0,9.72,1101,486.075
0.0,0.0,485.5,9.71,1079,485.5
0.0,0.0,484.0,9.68,1318,484.0
0.0,0.0,458.0,9.16,1295,458.0
0.0,0.0,482.0,9.64,1277,482.0
