avg_wait,renege_rate,staffing_cost,avg_tellers,served,total_cost
2.295,4.166666666666666,416.5,8.33,1084,427.975
156.5175,36.833333333333336,256.0,5.12,1273,1038.5875
2.265,5.866666666666665,420.5,8.41,1304,431.825
4.1825,6.599999999999999,415.0,8.3,1329,435.9125
33.9325,17.333333333333332,265.5,5.31,1118,435.1625
1.565,4.6000000000000005,422.0,8.44,1088,429.825
1.6025,3.1,421.5,8.43,1273,429.5125
2.9475,5.333333333333333,421.5,8.43,1125,436.2375
4.065,6.166666666666666,414.5,8.29,1280,434.825
169.0575,36.9,255.0,5.1,1254,1100.2875
466.75,44.5,189.0,3.78,946,2522.75
7.702083333333333,11.3,406.0,8.12,1052,444.5104166666667
3.3975,5.999999999999999,417.5,8.35,1097,434.4875
1.9375,5.366666666666666,417.0,8.34,1048,426.6875
2.4525,4.6,427.5,8.55,1311,439.7625
2.015,4.1,420.5,8.41,1277,430.575
1.2,3.833333333333333,423.0,8.46,1119,429.0
1.6475,4.066666666666666,417.5,8.35,1091,425.7375
2.64,6.0,419.5,8.39,1092,432.7
1.6025,3.6000000000000005,421.5,8.43,1272,429.5125
3.605,6.0,416.5,8.33,1098,434.525
8.3175,16.96666666666667,254.0,5.08,1079,295.5875
2.5025,3.4999999999999996,416.0,8.32,1046,428.5125
1.5275,3.6000000000000005,421.5,8.43,1301,429.1375
2.1475,5.233333333333333,420.5,8.41,1292,431.2375
903.45,45.5,150.0,3.0,721,4667.25
1.96,4.866666666666667,420.5,8.41,1094,430.3
1.775,4.199999999999999,417.0,8.34,1099,425.875
6.0025,7.5,265.0,5.3,1059,295.0125
3.4775,5.166666666666666,421.0,8.42,1101,438.3875
3.275,5.966666666666666,417.5,8.35,1280,433.875
2.735,3.6666666666666665,426.0,8.52,1085,439.675
0.955,4.033333333333333,419.5,8.39,1079,424.275
2.99,6.7333333333333325,418.0,8.36,1277,432.95
1.315,3.3333333333333335,419.0,8.38,1079,425.575
3.2475,5.666666666666666,417.5,8.35,1115,433.7375
3.7675,5.5,423.0,8.46,1112,441.8375
1.3825,3.3333333333333335,418.5,8.37,1269,425.4125
3.795,4.833333333333333,411.5,8.23,1076,430.475
1.1725,4.233333333333333,420.0,8.4,1104,425.8625
7.7925,20.93333333333333,227.0,4.54,1078,265.9625
1.0275,2.833333333333333,420.0,8.4,1105,425.1375
5.108035714285714,8.553571428571429,413.0,8.26,1153,438.54017857142856
1.1975,3.5666666666666664,419.5,8.39,1127,425.4875
4.1525,6.433333333333333,415.5,8.31,1249,436.2625
